,loja,2022-04-10,2022-04-17,2022-04-24,2022-05-01,2022-05-08,2022-05-15,2022-05-22,2022-05-29,MAPE
0,brasil_al_25,185,175,152,155,205,174,143,124,6.92
1,brasil_am_14,108,83,89,80,96,78,84,77,26.2
2,brasil_ap_16,67,56,78,76,83,56,31,49,3.7
3,brasil_ba_1,459,444,346,348,475,395,396,375,10.87
4,brasil_ba_12,193,183,142,136,149,152,119,139,5.73
5,brasil_ba_14,241,197,136,142,250,142,163,115,17.88
6,brasil_ba_35,104,130,96,94,164,115,96,106,10.98
7,brasil_ba_4,163,159,128,119,173,147,133,110,10.65
8,brasil_ba_8,177,166,134,127,199,143,129,131,25.41
9,brasil_ce_19,57,72,46,41,69,76,62,41,5.18
10,brasil_df_10,52,71,75,61,71,56,25,23,8.23
11,brasil_df_32,96,63,65,62,68,52,29,18,7.27
12,brasil_df_38,117,81,104,116,146,94,54,56,9.0
13,brasil_df_50,133,76,131,169,112,108,55,92,3.48
14,brasil_es_11,98,68,74,51,78,64,36,28,7.95
15,brasil_es_183,221,233,153,117,112,120,63,72,18.69
16,brasil_es_43,200,185,164,102,124,88,81,40,1.63
17,brasil_es_49,66,82,39,28,51,29,33,22,20.91
18,brasil_es_83,253,199,194,178,200,140,101,98,7.3
19,brasil_go_28,89,54,79,37,70,80,29,19,14.21
20,brasil_go_3,236,213,204,156,200,189,125,120,2.29
21,brasil_go_39,73,89,47,43,53,42,26,41,20.93
22,brasil_ma_27,143,121,85,91,125,132,96,78,5.68
23,brasil_mg_1,238,204,147,123,192,142,96,77,10.61
24,brasil_mg_144,72,66,55,32,49,31,11,15,5.26
25,brasil_mg_185,193,139,170,120,139,94,53,58,6.8
26,brasil_mg_34,81,95,35,44,24,30,9,27,28.65
27,brasil_mt_13,98,58,51,54,56,51,28,32,41.76
28,brasil_mt_35,147,143,166,87,90,113,58,68,12.79
29,brasil_mt_45,95,75,81,53,83,121,37,22,26.44
30,brasil_pa_37,130,115,102,91,143,88,99,99,8.17
31,brasil_pa_9,159,185,204,158,212,176,163,167,3.68
32,brasil_pb_33,125,103,77,46,70,90,67,77,10.9
33,brasil_pe_11,116,100,99,82,89,94,46,47,5.73
34,brasil_pe_17,219,200,165,117,202,158,105,77,22.54
35,brasil_pe_32,160,127,115,124,164,128,94,72,8.46
36,brasil_pe_38,134,165,97,102,141,104,97,47,6.92
37,brasil_pe_40,53,62,51,48,76,53,54,19,5.95
38,brasil_pe_5,199,196,119,146,204,162,132,63,5.3
39,brasil_rj_102,256,199,172,159,235,127,93,129,3.25
40,brasil_rj_109,354,343,357,285,336,234,180,241,6.4
41,brasil_rj_113,243,196,236,148,266,206,121,145,10.66
42,brasil_rj_122,305,313,304,294,345,220,171,199,9.79
43,brasil_rj_128,192,169,123,117,153,119,67,96,2.11
44,brasil_rj_181,118,98,153,102,137,67,45,48,8.17
45,brasil_rj_190,274,207,275,156,184,114,64,79,11.81
46,brasil_rj_191,130,137,187,135,150,117,59,89,3.37
47,brasil_rj_42,220,203,251,177,204,151,66,95,4.54
48,brasil_rj_56,113,127,146,88,113,77,42,72,13.89
49,brasil_rj_85,73,72,85,68,94,74,52,59,3.29
50,brasil_rj_90,219,237,250,207,226,141,58,86,16.01
51,brasil_rn_26,129,127,92,95,114,84,95,96,2.86
52,brasil_ro_46,99,82,100,91,107,91,64,105,14.43
53,brasil_sp_180,318,242,221,169,184,157,77,97,12.0
54,brasil_sp_4,124,79,68,69,63,55,21,25,10.83
55,brasil_sp_7,142,125,82,110,69,56,28,28,3.85
56,brasil_sp_93,96,61,44,33,50,30,9,14,3.52
