,loja,2022-04-10,2022-04-17,2022-04-24,2022-05-01,2022-05-08,2022-05-15,2022-05-22,2022-05-29,MAPE
0,brasil_am_33,135,123,150,128,167,153,120,104,7.44
1,brasil_ba_13,85,83,38,29,26,40,32,20,14.53
2,brasil_ba_46,50,78,42,42,59,40,34,35,5.32
3,brasil_es_134,97,94,82,82,83,74,59,76,10.34
4,brasil_es_161,135,149,118,108,130,107,60,47,8.67
5,brasil_es_78,114,144,111,98,125,107,74,51,1.17
6,brasil_es_81,180,139,123,123,141,112,97,62,12.92
7,brasil_es_96,126,115,105,86,99,96,63,43,6.33
8,brasil_go_26,146,111,117,104,154,108,59,48,6.05
9,brasil_mg_104,21,21,18,12,25,12,7,8,4.8
10,brasil_mg_110,87,110,79,59,83,58,15,28,8.86
11,brasil_mg_124,207,166,161,124,103,135,49,43,18.69
12,brasil_mg_131,97,59,44,36,37,44,16,18,17.33
13,brasil_mg_137,179,185,171,127,132,165,85,85,14.47
14,brasil_mg_151,73,71,53,28,19,44,5,2,23.26
15,brasil_mg_160,44,12,23,14,23,26,8,2,35.83
16,brasil_mg_179,135,124,75,85,97,73,30,26,17.24
17,brasil_mg_186,60,55,38,37,40,27,17,14,4.11
18,brasil_mg_27,139,139,66,69,111,87,34,23,21.23
19,brasil_mg_33,145,124,104,96,77,81,62,41,27.48
20,brasil_mg_59,104,111,82,76,84,49,45,31,7.19
21,brasil_mg_6,86,63,42,31,47,24,15,15,3.48
22,brasil_mg_69,116,127,65,52,82,48,22,24,12.03
23,brasil_mg_79,123,127,99,81,78,76,54,30,4.98
24,brasil_mg_92,82,75,38,30,29,20,11,6,23.78
25,brasil_mg_95,105,92,79,51,99,82,32,39,5.13
26,brasil_ms_12,143,130,107,94,88,85,42,77,8.48
27,brasil_ms_17,21,28,37,21,19,21,4,11,15.9
28,brasil_ms_43,104,75,55,36,53,40,19,44,20.49
29,brasil_ms_52,136,131,110,133,94,113,24,74,16.18
30,brasil_mt_27,57,74,72,57,76,69,41,46,4.87
31,brasil_mt_44,84,104,82,51,105,100,35,46,10.76
32,brasil_pa_15,148,124,142,135,194,169,127,123,14.8
33,brasil_pa_25,90,127,124,76,116,74,68,65,3.6
34,brasil_pa_30,111,104,76,93,139,86,67,73,2.72
35,brasil_pa_34,72,110,112,93,123,118,90,93,1.91
36,brasil_pa_36,82,92,80,130,124,142,87,53,3.62
37,brasil_rj_10,178,134,181,102,137,122,83,59,8.31
38,brasil_rj_105,65,115,75,56,59,75,90,82,13.01
39,brasil_rj_111,125,70,113,76,77,70,41,34,9.96
40,brasil_rj_115,142,150,125,89,121,86,29,39,5.15
41,brasil_rj_120,97,75,78,63,105,52,17,33,6.32
42,brasil_rj_127,52,74,60,49,51,37,4,28,12.95
43,brasil_rj_130,33,30,49,61,90,68,133,186,24.8
44,brasil_rj_146,592,652,657,609,657,532,382,391,6.15
45,brasil_rj_158,179,214,196,147,268,176,89,99,12.37
46,brasil_rj_17,157,132,155,86,174,110,74,83,18.47
47,brasil_rj_175,106,107,101,63,101,69,49,59,2.09
48,brasil_rj_184,470,405,475,294,560,364,280,311,17.47
49,brasil_rj_194,80,87,102,82,70,53,34,55,2.46
50,brasil_rj_29,124,98,99,77,125,97,41,67,4.46
51,brasil_rj_32,319,321,384,219,391,298,177,226,7.85
52,brasil_rj_35,119,106,103,85,105,88,55,21,7.64
53,brasil_rj_36,40,41,48,40,16,39,2,14,20.43
54,brasil_rj_53,254,257,289,184,272,190,144,127,3.13
55,brasil_rj_70,123,101,148,82,106,96,31,40,9.46
56,brasil_rj_71,78,40,49,39,72,38,32,19,2.52
57,brasil_rj_75,214,202,246,134,220,151,74,110,4.08
58,brasil_rj_76,181,160,193,149,177,108,57,72,5.22
59,brasil_rj_8,172,176,192,159,227,161,102,124,3.89
60,brasil_rj_81,4238,4604,3706,4077,5125,4101,2667,5030,15.22
61,brasil_rj_94,223,231,223,186,217,174,100,121,2.78
62,brasil_rj_98,139,128,131,111,165,77,51,57,10.94
63,brasil_sp_119,90,82,70,58,56,45,28,36,16.41
64,brasil_sp_125,103,105,87,56,45,40,25,26,11.31
65,brasil_sp_126,113,122,96,90,79,77,62,49,8.47
66,brasil_sp_153,70,57,42,42,42,30,18,24,21.44
67,brasil_sp_156,79,72,46,57,50,42,16,15,8.08
68,brasil_sp_162,172,167,169,140,135,112,82,64,2.51
69,brasil_sp_166,42,47,32,28,13,7,0,5,25.94
70,brasil_sp_167,42,46,44,32,40,36,23,21,10.47
71,brasil_sp_19,175,157,163,100,76,84,5,34,28.8
72,brasil_sp_20,161,151,124,120,121,71,43,50,3.11
73,brasil_sp_41,92,37,32,49,21,36,7,20,35.65
74,brasil_sp_57,138,93,83,86,50,55,24,34,6.53
75,brasil_sp_80,96,57,67,61,45,48,20,12,24.52
76,brasil_sp_82,210,161,129,144,155,105,55,64,2.44
77,brasil_sp_86,106,94,63,88,72,61,6,10,26.04
78,brasil_sp_87,96,72,73,50,49,25,11,13,7.9
