,loja,2022-04-10,2022-04-17,2022-04-24,2022-05-01,2022-05-08,2022-05-15,2022-05-22,2022-05-29,MAPE
0,brasil_ac_1,123,149,101,113,163,140,93,105,2.15
1,brasil_al_21,170,283,205,160,179,151,121,115,14.82
2,brasil_al_34,145,147,164,74,158,121,88,69,2.67
3,brasil_al_60,255,330,277,218,347,309,227,179,10.71
4,brasil_am_1,213,173,174,134,194,184,168,163,6.66
5,brasil_am_16,88,63,78,100,103,124,68,88,11.43
6,brasil_am_23,61,62,47,68,84,72,63,57,6.12
7,brasil_am_8,213,196,207,153,264,215,168,207,19.34
8,brasil_ap_54,76,68,67,64,96,70,44,64,5.12
9,brasil_ba_36,125,129,95,76,91,94,90,107,8.11
10,brasil_ba_39,88,86,63,62,86,73,61,49,9.69
11,brasil_ba_49,99,129,68,88,121,83,81,68,6.71
12,brasil_ba_59,370,456,299,300,412,387,309,280,2.76
13,brasil_ba_7,133,131,103,85,155,103,113,113,9.08
14,brasil_ce_20,148,138,94,104,115,128,101,106,11.54
15,brasil_ce_22,109,103,88,96,120,94,85,72,4.02
16,brasil_ce_31,109,115,135,105,130,93,59,92,2.04
17,brasil_ce_37,112,99,62,80,57,112,85,63,23.32
18,brasil_ce_42,123,90,108,101,95,138,94,77,3.81
19,brasil_ce_43,90,60,61,62,71,61,59,37,2.71
20,brasil_ce_47,70,63,46,57,47,42,54,47,5.75
21,brasil_ce_56,323,287,257,243,286,253,221,198,2.44
22,brasil_ce_57,191,160,144,122,125,125,123,87,3.91
23,brasil_df_2,81,69,93,74,59,86,42,35,10.38
24,brasil_df_20,192,143,157,140,214,153,84,69,1.47
25,brasil_df_24,75,101,94,71,98,47,19,37,12.47
26,brasil_df_42,423,418,344,303,413,358,188,199,6.64
27,brasil_df_49,223,213,206,177,260,207,76,82,12.19
28,brasil_df_7,53,81,87,90,109,79,48,28,5.99
29,brasil_go_19,125,162,109,107,134,96,54,82,6.33
30,brasil_go_21,105,84,66,47,64,82,43,43,3.04
31,brasil_go_4,218,157,137,125,148,135,88,129,6.07
32,brasil_go_48,329,318,265,209,206,229,161,176,3.91
33,brasil_go_5,174,160,117,113,119,104,77,85,6.83
34,brasil_go_53,52,86,56,53,70,33,25,25,2.29
35,brasil_ma_23,205,136,102,112,141,134,69,96,3.98
36,brasil_ma_29,72,57,44,65,50,59,38,45,3.47
37,brasil_ma_48,89,92,67,59,79,61,55,56,6.59
38,brasil_ma_50,56,79,60,52,72,67,50,52,4.76
39,brasil_ma_9,292,287,220,208,228,252,174,191,12.87
40,brasil_mg_178,231,268,180,167,149,159,66,55,10.66
41,brasil_mg_30,223,153,140,88,138,123,80,54,13.94
42,brasil_mt_31,107,110,146,153,119,171,99,100,5.82
43,brasil_mt_51,203,155,151,159,149,177,88,89,7.36
44,brasil_pa_18,111,133,84,74,122,102,76,60,8.49
45,brasil_pa_41,84,84,47,78,86,78,83,53,3.63
46,brasil_pb_24,138,112,128,114,139,106,79,84,1.34
47,brasil_pe_15,241,284,175,156,201,199,143,98,11.03
48,brasil_pe_55,325,265,195,209,216,263,167,109,2.02
49,brasil_pe_58,257,329,235,254,359,244,213,67,3.0
50,brasil_pi_18,258,250,207,229,252,229,164,168,5.31
51,brasil_pi_30,138,83,97,141,92,95,104,86,3.77
52,brasil_pi_45,83,41,37,32,34,36,38,22,4.31
53,brasil_rj_129,79,121,83,93,102,99,35,33,10.49
54,brasil_rn_28,106,115,105,74,99,135,94,84,43.94
55,brasil_rn_6,246,239,143,133,166,174,162,163,9.51
56,brasil_ro_6,201,197,124,162,153,150,136,131,4.93
57,brasil_rr_22,105,129,89,91,112,72,42,85,4.39
58,brasil_se_10,147,102,112,93,106,106,87,113,4.71
59,brasil_se_2,202,211,152,140,160,141,155,128,2.46
60,brasil_se_44,54,33,27,24,39,56,31,47,4.18
61,brasil_to_11,147,159,157,132,141,161,186,92,9.46
