,loja,2022-04-10,2022-04-17,2022-04-24,2022-05-01,2022-05-08,2022-05-15,2022-05-22,2022-05-29,MAPE
0,argentina_ar_1,2,11,5,3,11,1,1,7,25.52
1,argentina_ar_2,8,9,7,12,7,6,6,4,0.0
2,argentina_ar_3,3,5,3,4,2,1,1,6,19.79
3,argentina_ar_4,8,7,10,7,5,4,4,2,31.3
4,brasil_pr_55,0,0,0,0,0,0,0,0,87.5
5,brasil_pr_59,17,7,3,1,0,0,0,1,74.2
6,brasil_pr_64,40,15,15,33,22,5,4,8,25.22
7,brasil_rs_42,56,100,53,36,13,4,2,0,26.15
8,brasil_rs_47,32,0,0,0,0,0,0,0,55.6
9,brasil_rs_51,35,1,0,0,0,0,0,0,90.47
10,brasil_rs_56,13,0,0,0,0,0,0,0,72.15
11,brasil_rs_57,12,0,1,0,0,0,0,0,77.38
12,brasil_rs_58,51,59,32,33,2,0,0,0,58.72
13,brasil_rs_60,20,8,1,6,1,0,0,0,62.46
14,brasil_rs_62,5,0,0,0,0,0,0,0,97.6
15,brasil_rs_65,37,0,0,0,0,0,0,0,70.33
16,brasil_rs_66,61,74,60,0,0,0,0,0,73.26
17,brasil_rs_68,29,13,15,21,16,15,14,0,32.73
18,brasil_rs_70,4,2,0,0,0,0,0,0,93.33
19,brasil_sc_61,44,42,39,16,32,9,5,4,22.58
20,brasil_sc_69,10,5,4,8,0,4,0,0,63.29
21,brasil_sp_143,158,134,100,128,98,53,25,43,10.02
22,brasil_sp_15,95,113,82,76,40,21,19,33,19.13
23,brasil_sp_173,231,186,154,190,114,51,40,30,4.04
24,brasil_sp_177,83,68,76,34,14,0,0,7,51.67
25,uruguai_uy_1,3,11,2,0,4,0,0,0,65.46
26,uruguai_uy_2,43,33,28,21,6,0,9,0,24.42
27,uruguai_uy_3,42,26,19,15,0,0,0,0,65.07
28,uruguai_uy_4,31,21,14,9,5,1,0,8,27.35
29,uruguai_uy_5,27,2,0,0,0,0,0,0,88.54
30,uruguai_uy_6,86,61,19,4,0,0,0,0,71.2
31,uruguai_uy_7,39,28,5,4,5,0,0,0,70.13
32,uruguai_uy_8,28,22,12,4,10,1,0,0,43.24
33,uruguai_uy_9,25,15,9,10,3,24,1,3,31.36
