,loja,2022-04-10,2022-04-17,2022-04-24,2022-05-01,2022-05-08,2022-05-15,2022-05-22,2022-05-29,MAPE
0,brasil_mg_114,75,69,53,45,20,21,9,5,6.85
1,brasil_mg_155,24,30,17,0,2,0,2,3,62.81
2,brasil_mg_157,38,45,32,24,8,6,9,3,8.75
3,brasil_mg_22,113,115,78,48,82,56,26,42,3.43
4,brasil_mg_68,58,40,32,25,6,26,12,9,0.0
5,brasil_ms_40,84,87,59,87,53,48,33,30,5.45
6,brasil_pr_10,8,7,1,0,0,0,0,0,73.02
7,brasil_pr_23,45,46,21,0,0,3,0,0,43.15
8,brasil_pr_25,21,15,11,13,5,10,0,0,38.65
9,brasil_pr_27,39,56,22,48,29,9,0,5,28.3
10,brasil_pr_33,16,7,12,9,5,0,5,1,49.4
11,brasil_pr_35,20,1,8,16,4,3,0,0,59.82
12,brasil_pr_46,13,9,9,5,8,9,4,2,27.31
13,brasil_pr_48,19,48,15,37,16,4,2,8,6.51
14,brasil_pr_5,32,30,20,72,41,31,12,24,127.74
15,brasil_pr_54,29,29,7,23,5,0,5,5,36.7
16,brasil_pr_63,51,29,16,20,17,21,5,11,20.28
17,brasil_pr_7,39,18,22,0,0,0,0,0,72.64
18,brasil_pr_74,18,0,0,0,0,0,0,0,66.96
19,brasil_pr_76,53,47,34,42,18,2,11,6,34.09
20,brasil_pr_80,55,65,78,63,24,3,0,0,47.95
21,brasil_pr_82,4,5,11,0,0,0,0,0,40.14
22,brasil_pr_9,69,38,37,57,46,23,2,6,21.68
23,brasil_rj_116,42,42,24,51,26,13,16,10,1.55
24,brasil_rj_147,40,26,25,14,13,18,10,12,3.46
25,brasil_rj_168,54,36,39,45,35,37,19,35,2.8
26,brasil_rj_170,39,40,53,52,52,33,28,34,7.06
27,brasil_rs_1,14,0,1,2,0,0,0,0,94.65
28,brasil_rs_11,16,12,1,6,5,0,0,0,60.2
29,brasil_rs_12,20,3,0,0,0,0,0,0,73.72
30,brasil_rs_13,80,22,0,0,0,0,0,0,84.84
31,brasil_rs_14,17,11,0,0,4,0,0,0,81.41
32,brasil_rs_15,18,13,5,12,0,0,0,0,23.14
33,brasil_rs_16,65,60,73,19,0,0,0,0,52.82
34,brasil_rs_17,69,35,35,5,2,0,0,0,59.83
35,brasil_rs_2,8,15,0,0,0,0,0,0,88.76
36,brasil_rs_20,53,17,3,0,0,0,0,0,71.72
37,brasil_rs_24,38,15,7,0,0,0,0,0,78.23
38,brasil_rs_26,23,15,11,6,5,0,0,0,55.87
39,brasil_rs_29,25,16,12,10,3,2,3,4,1.39
40,brasil_rs_3,12,14,7,9,8,2,3,3,16.41
41,brasil_rs_30,65,70,34,24,0,0,0,0,66.54
42,brasil_rs_32,56,36,0,0,0,0,0,0,69.71
43,brasil_rs_34,14,5,11,0,0,0,0,2,61.09
44,brasil_rs_37,101,65,25,1,0,0,0,0,72.08
45,brasil_rs_38,34,26,14,6,2,0,0,0,48.59
46,brasil_rs_40,52,20,12,6,0,0,0,0,73.28
47,brasil_rs_44,17,30,0,0,0,0,0,0,81.01
48,brasil_rs_45,167,82,20,4,0,0,0,0,68.5
49,brasil_rs_52,90,98,80,96,48,30,0,5,37.01
50,brasil_rs_53,276,232,50,0,0,0,0,0,71.17
51,brasil_rs_6,7,14,7,9,4,0,5,0,28.65
52,brasil_rs_67,66,65,13,0,0,0,0,0,58.41
53,brasil_rs_75,37,20,0,0,0,0,0,0,45.67
54,brasil_rs_77,27,13,0,0,0,0,0,0,62.26
55,brasil_rs_78,26,8,0,0,0,0,0,0,75.6
56,brasil_rs_79,76,50,2,0,0,0,0,0,80.04
57,brasil_rs_8,83,55,25,8,0,0,0,0,39.6
58,brasil_sc_18,56,48,33,25,27,19,13,11,33.57
59,brasil_sc_19,22,24,16,18,13,10,6,5,15.09
60,brasil_sc_21,25,18,0,5,1,9,0,2,65.98
61,brasil_sc_22,58,50,36,26,39,24,11,16,9.12
62,brasil_sc_28,28,27,12,21,18,10,9,0,26.82
63,brasil_sc_31,34,45,13,27,17,12,1,0,46.37
64,brasil_sc_36,16,17,23,19,12,0,0,0,47.0
65,brasil_sc_39,28,10,20,16,19,21,2,0,37.97
66,brasil_sc_4,87,66,75,51,30,38,32,48,7.82
67,brasil_sc_41,12,5,7,5,7,3,3,0,44.38
68,brasil_sc_43,39,45,28,18,23,24,9,4,15.98
69,brasil_sc_49,56,65,54,40,23,16,6,10,16.48
70,brasil_sc_50,34,30,22,22,10,12,6,3,0.0
71,brasil_sc_72,24,23,19,6,11,12,7,7,52.06
72,brasil_sc_73,34,40,13,10,11,9,0,9,46.57
73,brasil_sc_83,27,39,6,8,8,3,0,4,60.14
74,brasil_sc_84,13,26,10,18,13,0,0,0,45.06
75,brasil_sp_100,67,63,68,52,41,32,11,30,2.75
76,brasil_sp_101,32,26,29,25,8,3,4,4,23.34
77,brasil_sp_103,102,93,88,62,49,57,25,45,9.8
78,brasil_sp_106,61,63,79,43,18,30,17,24,17.64
79,brasil_sp_107,23,14,40,33,57,85,139,69,25.9
80,brasil_sp_108,36,32,32,20,30,19,14,6,0.0
81,brasil_sp_112,31,42,29,22,13,27,7,1,21.33
82,brasil_sp_117,33,43,32,25,24,20,19,19,3.86
83,brasil_sp_118,57,42,41,24,21,21,22,20,25.77
84,brasil_sp_12,70,86,66,65,53,42,26,17,1.98
85,brasil_sp_121,42,27,12,25,9,23,10,5,6.03
86,brasil_sp_123,27,27,23,18,18,13,10,6,4.09
87,brasil_sp_13,61,45,48,57,23,10,7,15,33.02
88,brasil_sp_132,35,32,29,18,12,9,0,7,18.07
89,brasil_sp_133,98,102,95,57,60,57,39,46,20.09
90,brasil_sp_135,43,42,28,20,15,15,9,15,22.15
91,brasil_sp_136,24,17,5,6,8,0,0,2,52.22
92,brasil_sp_138,17,14,13,6,6,2,1,6,18.19
93,brasil_sp_139,99,113,76,75,55,34,40,25,17.19
94,brasil_sp_14,94,90,79,54,56,36,12,27,8.98
95,brasil_sp_140,19,18,13,9,6,6,1,1,36.04
96,brasil_sp_141,53,55,36,39,25,18,13,16,14.49
97,brasil_sp_142,21,12,17,19,7,3,9,3,27.02
98,brasil_sp_145,44,39,32,16,13,23,2,9,26.46
99,brasil_sp_148,92,56,49,36,37,38,12,23,22.19
100,brasil_sp_149,38,44,30,36,22,12,7,13,21.34
101,brasil_sp_150,18,10,20,6,6,11,0,1,29.91
102,brasil_sp_152,122,107,103,89,132,75,44,56,8.33
103,brasil_sp_154,46,26,12,17,7,8,4,0,13.96
104,brasil_sp_159,124,144,122,96,75,51,53,40,2.86
105,brasil_sp_16,65,51,34,35,48,14,12,8,29.32
106,brasil_sp_163,27,23,17,5,9,10,5,7,24.98
107,brasil_sp_164,16,27,6,3,16,2,0,0,51.73
108,brasil_sp_165,50,31,44,43,28,15,4,14,0.0
109,brasil_sp_169,58,40,49,41,32,19,10,15,16.48
110,brasil_sp_172,36,24,10,7,12,5,9,4,24.65
111,brasil_sp_174,67,80,66,63,47,32,18,45,14.12
112,brasil_sp_176,45,44,38,32,23,23,21,14,4.47
113,brasil_sp_18,74,71,39,49,55,38,28,21,2.21
114,brasil_sp_182,171,155,148,115,84,53,56,55,21.94
115,brasil_sp_187,184,208,150,124,136,55,32,33,22.88
116,brasil_sp_188,56,47,30,43,14,22,16,10,5.05
117,brasil_sp_189,68,71,37,46,49,21,9,7,32.1
118,brasil_sp_193,84,85,78,47,44,30,9,33,3.01
119,brasil_sp_195,72,61,32,33,13,26,4,3,28.52
120,brasil_sp_2,113,103,82,82,60,71,11,31,27.65
121,brasil_sp_21,34,34,38,18,15,13,8,15,20.71
122,brasil_sp_23,142,96,96,94,56,61,29,41,26.27
123,brasil_sp_24,61,43,37,26,21,29,9,15,18.69
124,brasil_sp_25,59,50,42,24,14,32,0,1,37.49
125,brasil_sp_26,73,64,55,37,44,22,26,30,4.3
126,brasil_sp_28,45,40,25,27,19,20,2,7,28.82
127,brasil_sp_3,94,69,69,50,49,40,19,43,2.51
128,brasil_sp_31,122,61,75,51,40,28,9,9,40.29
129,brasil_sp_37,46,54,9,15,26,3,0,0,62.32
130,brasil_sp_38,51,29,41,31,22,26,16,10,17.52
131,brasil_sp_39,78,97,61,70,29,28,13,15,19.64
132,brasil_sp_40,73,41,32,37,28,32,25,14,4.29
133,brasil_sp_44,28,14,13,9,5,4,7,0,45.81
134,brasil_sp_45,76,54,35,34,46,20,12,22,7.04
135,brasil_sp_46,29,33,21,12,1,5,1,9,50.65
136,brasil_sp_47,50,35,22,6,18,7,0,0,36.36
137,brasil_sp_48,49,40,35,35,29,10,1,4,36.19
138,brasil_sp_5,78,57,43,43,37,32,23,35,22.23
139,brasil_sp_50,96,73,54,75,65,47,27,25,2.07
140,brasil_sp_51,37,56,41,44,41,39,18,38,2.1
141,brasil_sp_52,101,79,48,52,55,32,7,8,31.51
142,brasil_sp_54,67,45,65,48,33,19,19,33,2.89
143,brasil_sp_55,45,37,27,28,24,33,17,13,5.88
144,brasil_sp_58,132,99,102,86,66,58,35,41,15.24
145,brasil_sp_60,37,61,24,25,20,12,0,6,35.91
146,brasil_sp_61,81,34,70,35,44,27,8,0,24.27
147,brasil_sp_62,45,19,24,9,6,6,0,4,41.51
148,brasil_sp_63,32,32,15,13,13,3,0,0,48.75
149,brasil_sp_64,78,80,51,34,31,28,9,12,18.36
150,brasil_sp_65,40,31,34,18,12,6,2,5,27.54
151,brasil_sp_66,62,40,34,27,21,16,4,8,25.93
152,brasil_sp_67,159,117,126,97,69,62,50,52,26.75
153,brasil_sp_72,84,87,60,66,54,20,10,11,20.68
154,brasil_sp_73,22,2,7,8,6,5,0,4,61.52
155,brasil_sp_74,119,105,89,95,82,60,48,48,3.14
156,brasil_sp_77,64,50,68,39,48,38,18,25,13.73
157,brasil_sp_84,59,51,33,35,39,17,19,27,11.5
158,brasil_sp_88,75,54,56,59,34,30,24,6,5.05
159,brasil_sp_89,37,25,28,16,20,14,10,7,8.99
160,brasil_sp_9,118,73,63,62,56,25,8,23,25.68
161,brasil_sp_91,89,92,64,78,46,30,9,0,21.22
162,brasil_sp_97,36,41,26,25,18,11,3,6,17.4
163,brasil_sp_99,116,105,59,53,65,44,44,33,18.67
