iter	Logloss
0	0.6851144937
1	0.6781693972
2	0.6711475666
3	0.6638788077
4	0.6583071489
5	0.6507666661
6	0.6438256777
7	0.6367546962
8	0.6314204289
9	0.6246050321
10	0.6188559165
11	0.6125685985
12	0.6081136924
13	0.6029043931
14	0.5976957908
15	0.593046005
16	0.5867146712
17	0.5810552744
18	0.5740114359
19	0.5687212577
20	0.5634371684
21	0.5580196381
22	0.5540630267
23	0.5476668431
24	0.5425121601
25	0.538198141
26	0.5337702311
27	0.5283465019
28	0.5235337477
29	0.5185239498
30	0.5129704109
31	0.5080834169
32	0.5037016502
33	0.4997787476
34	0.4956691449
35	0.4919635333
36	0.4885978699
37	0.4840770868
38	0.4796799513
39	0.475418531
40	0.4712298467
41	0.4679274926
42	0.4640858724
43	0.4601631898
44	0.4565820327
45	0.4518644993
46	0.4483408194
47	0.4457151706
48	0.4428937252
49	0.4393325952
50	0.4358569659
51	0.4313557698
52	0.4281256015
53	0.424645644
54	0.4210362801
55	0.4179487962
56	0.4146655156
57	0.4118806399
58	0.4097724328
59	0.4068201505
60	0.4028292436
61	0.3991300143
62	0.3964881897
63	0.3935987032
64	0.3910008577
65	0.3897851797
66	0.3870901328
67	0.3839258781
68	0.3820359523
69	0.3793084071
70	0.3759739949
71	0.3737089451
72	0.3705014449
73	0.3682001921
74	0.365338839
75	0.3620166779
76	0.3593323414
77	0.357384535
78	0.3551929547
79	0.353004749
80	0.3502407074
81	0.3482819704
82	0.345449521
83	0.3431489651
84	0.3411616912
85	0.3389976942
86	0.3361713703
87	0.3337093133
88	0.3316040039
89	0.32903873
90	0.3267170466
91	0.3240671525
92	0.3222561249
93	0.3204032458
94	0.3183711859
95	0.3169513116
96	0.3147040881
97	0.3122602609
98	0.3099554502
99	0.3078354322
100	0.306120469
101	0.3037267098
102	0.3023646611
103	0.2999478303
104	0.2979910557
105	0.2965574265
106	0.2948323397
107	0.292421561
108	0.2907313567
109	0.2888814853
110	0.2877659614
111	0.2863503053
112	0.2848956952
113	0.2834802591
114	0.2816355412
115	0.2803727663
116	0.2786127054
117	0.2764558242
118	0.2752000002
119	0.2733380244
120	0.2721615938
121	0.2700501955
122	0.2685616567
123	0.266686953
124	0.2651049907
125	0.2632372196
126	0.2619657883
127	0.260360516
128	0.2586673223
129	0.2570542922
130	0.256085946
131	0.2539271758
132	0.2522914226
133	0.2506449223
134	0.2494049439
135	0.2476191521
136	0.2464355139
137	0.2443646468
138	0.2430675947
139	0.2418597111
140	0.2404740407
141	0.2391766401
142	0.237972718
143	0.2364637302
144	0.2357059625
145	0.234468185
146	0.2330711805
147	0.2317598416
148	0.2305851533
149	0.2291839673
150	0.2282571793
151	0.2268609267
152	0.2259057118
153	0.2244884418
154	0.2229749606
155	0.2219723005
156	0.2210496206
157	0.2201457024
158	0.2190902233
159	0.2182342089
160	0.2169362031
161	0.216266302
162	0.2147152791
163	0.2136606987
164	0.2124868356
165	0.2112746055
166	0.2100136097
167	0.2092322386
168	0.2082417378
169	0.2073176091
170	0.2063997709
171	0.2054883884
172	0.2044429779
173	0.2035353
174	0.2024160165
175	0.2015872185
176	0.2004182522
177	0.1996134428
178	0.1982299731
179	0.1971495702
180	0.1963867041
181	0.1957092285
182	0.1945881477
183	0.193829298
184	0.1929767682
185	0.1919809305
186	0.1909116231
187	0.1899871093
188	0.1888248187
189	0.1877534756
190	0.18688013
191	0.1859546075
192	0.1852767651
193	0.1841226174
194	0.1832529948
195	0.1822980734
196	0.1813464532
197	0.180268251
198	0.1794215349
199	0.1786031356
200	0.1776414284
201	0.1767366483
202	0.1760176695
203	0.1751263325
204	0.1742090445
205	0.1732369203
206	0.1725938504
207	0.1717706827
208	0.1708937058
209	0.1700141247
210	0.1691972659
211	0.1685937368
212	0.1677732651
213	0.1670100139
214	0.1660744594
215	0.1652914194
216	0.1644777151
217	0.1637495848
218	0.1633483447
219	0.1625077908
220	0.1618746978
221	0.1609473779
222	0.1601432287
223	0.1592498926
224	0.1586579543
225	0.1580628799
226	0.1574932979
227	0.1564857776
228	0.156036377
229	0.1551432793
230	0.1546350993
231	0.1538393497
232	0.1530091396
233	0.1521063676
234	0.151473834
235	0.1508169908
236	0.150300732
237	0.1497846017
238	0.1491354245
239	0.1482712489
240	0.1476999246
241	0.1473027193
242	0.1462699358
243	0.1455795582
244	0.1448290165
245	0.1442341896
246	0.1434599436
247	0.1429894704
248	0.1422256506
249	0.1416438543
